DATE,OPEN,HIGH,LOW,CLOSE,CHANGE
2019년 01월 15일,"1,287.38","1,289.64","1,278.55","1,281.59",-0.45%
2019년 01월 14일,"1,283.12","1,291.18","1,279.47","1,287.43",0.38%
2019년 01월 11일,"1,285.46","1,290.28","1,281.23","1,282.50",-0.23%
2019년 01월 10일,"1,290.71","1,297.42","1,284.09","1,285.46",-0.40%
2019년 01월 09일,"1,284.63","1,292.42","1,281.48","1,290.61",0.46%
2019년 01월 08일,"1,282.63","1,291.68","1,281.65","1,284.74",0.17%
2019년 01월 07일,"1,272.27","1,284.58","1,271.85","1,282.58",0.78%
2019년 01월 04일,"1,282.83","1,288.15","1,272.12","1,272.65",-0.79%
2019년 01월 03일,"1,270.67","1,286.06","1,268.54","1,282.84",0.96%
2019년 01월 02일,"1,275.79","1,288.09","1,267.87","1,270.61",-0.40%
2019년 01월 01일,"1,278.21","1,285.86","1,271.48","1,275.75",-0.19%
2018년 12월 31일,"1,278.69","1,280.15","1,269.14","1,278.15",-0.01%
2018년 12월 28일,"1,280.26","1,283.96","1,274.44","1,278.24",-0.17%
2018년 12월 27일,"1,276.84","1,285.20","1,274.01","1,280.37",0.37%
2018년 12월 26일,"1,276.47","1,286.59","1,273.90","1,275.70",-0.24%
2018년 12월 25일,"1,282.74","1,285.36","1,276.23","1,278.73",-0.28%
2018년 12월 24일,"1,283.73","1,287.12","1,279.45","1,282.30",-0.13%
2018년 12월 21일,"1,285.07","1,290.91","1,278.59","1,284.00",-0.09%
2018년 12월 20일,"1,285.28","1,291.02","1,281.35","1,285.13",-0.01%
2018년 12월 19일,"1,281.21","1,286.93","1,276.83","1,285.27",0.33%
2018년 12월 18일,"1,281.64","1,288.07","1,279.65","1,281.05",-0.06%
2018년 12월 17일,"1,280.56","1,285.36","1,278.43","1,281.76",0.06%
2018년 12월 14일,"1,278.90","1,286.48","1,277.60","1,281.03",0.16%
2018년 12월 13일,"1,278.98","1,282.13","1,273.44","1,279.02",0.02%
2018년 12월 12일,"1,278.01","1,283.19","1,276.72","1,278.75",0.04%
2018년 12월 11일,"1,281.14","1,289.08","1,276.79","1,278.29",-0.25%
2018년 12월 10일,"1,280.07","1,291.38","1,280.07","1,281.43",0.12%
2018년 12월 07일,"1,272.63","1,286.78","1,270.24","1,279.86",0.57%
2018년 12월 06일,"1,264.08","1,279.47","1,261.96","1,272.58",0.68%
2018년 12월 05일,"1,260.95","1,265.96","1,259.20","1,263.96",0.23%
2018년 12월 04일,"1,259.71","1,265.45","1,256.68","1,261.07",0.10%
2018년 12월 03일,"1,267.78","1,273.96","1,258.17","1,259.77",-0.65%
2018년 11월 30일,"1,273.21","1,280.12","1,264.35","1,268.01",-0.41%
2018년 11월 29일,"1,277.17","1,279.57","1,271.20","1,273.22",-0.30%
2018년 11월 28일,"1,276.18","1,280.94","1,270.54","1,277.01",0.07%
2018년 11월 27일,"1,279.65","1,282.76","1,274.03","1,276.17",-0.29%
2018년 11월 26일,"1,285.73","1,287.09","1,277.23","1,279.83",-0.45%
2018년 11월 23일,"1,294.75","1,296.58","1,281.59","1,285.56",-0.75%
2018년 11월 22일,"1,284.26","1,295.30","1,283.56","1,295.28",0.85%
2018년 11월 21일,"1,285.33","1,293.11","1,283.32","1,284.37",-0.07%
2018년 11월 20일,"1,289.62","1,293.72","1,282.89","1,285.21",-0.31%
2018년 11월 19일,"1,278.80","1,291.81","1,278.01","1,289.24",0.67%
2018년 11월 16일,"1,277.73","1,287.11","1,276.68","1,280.64",0.23%
2018년 11월 15일,"1,281.09","1,284.11","1,275.43","1,277.72",-0.26%
2018년 11월 14일,"1,278.53","1,286.23","1,276.67","1,281.09",0.28%
2018년 11월 13일,"1,277.29","1,280.89","1,271.53","1,277.57",-0.04%
2018년 11월 12일,"1,281.17","1,285.06","1,277.38","1,278.12",-0.28%
2018년 11월 09일,"1,274.56","1,283.47","1,273.13","1,281.75",0.56%
2018년 11월 08일,"1,275.46","1,281.06","1,272.05","1,274.62",-0.08%
2018년 11월 07일,"1,282.13","1,288.23","1,275.14","1,275.63",-0.50%
2018년 11월 06일,"1,279.51","1,285.54","1,278.23","1,282.03",0.28%
2018년 11월 05일,"1,272.78","1,281.37","1,270.98","1,278.42",0.41%
2018년 11월 02일,"1,283.58","1,289.24","1,271.05","1,273.18",-0.74%
2018년 11월 01일,"1,290.88","1,292.82","1,280.27","1,282.72",-0.70%
2018년 10월 31일,"1,293.04","1,296.12","1,290.16","1,291.80",-0.09%
2018년 10월 30일,"1,300.60","1,302.49","1,291.35","1,292.92",-0.60%
2018년 10월 29일,"1,300.65","1,304.41","1,294.76","1,300.71",0.01%
2018년 10월 26일,"1,293.78","1,303.71","1,291.53","1,300.61",0.52%
2018년 10월 25일,"1,298.59","1,302.61","1,288.67","1,293.83",-0.36%
2018년 10월 24일,"1,302.73","1,305.45","1,290.37","1,298.53",-0.34%
2018년 10월 23일,"1,299.28","1,308.96","1,297.28","1,302.96",0.28%
2018년 10월 22일,"1,302.76","1,307.42","1,297.28","1,299.27",-0.33%
2018년 10월 19일,"1,303.88","1,307.07","1,294.82","1,303.62",-0.03%
2018년 10월 18일,"1,297.81","1,309.66","1,296.40","1,304.04",0.47%
2018년 10월 17일,"1,301.11","1,305.54","1,296.72","1,297.92",-0.17%
2018년 10월 16일,"1,309.58","1,315.38","1,297.84","1,300.10",-0.80%
2018년 10월 15일,"1,307.71","1,314.04","1,306.19","1,310.60",0.19%
2018년 10월 12일,"1,316.55","1,318.97","1,304.60","1,308.12",-0.64%
2018년 10월 11일,"1,316.97","1,325.06","1,310.58","1,316.56",-0.04%
2018년 10월 10일,"1,300.92","1,318.99","1,300.17","1,317.08",1.25%
2018년 10월 09일,"1,303.86","1,305.57","1,300.19","1,300.86",-0.23%
2018년 10월 08일,"1,304.18","1,308.26","1,301.41","1,303.91",-0.06%
2018년 10월 05일,"1,305.14","1,306.88","1,296.37","1,304.66",-0.04%
2018년 10월 04일,"1,291.68","1,306.72","1,290.98","1,305.20",1.03%
2018년 10월 03일,"1,292.59","1,298.18","1,289.79","1,291.85",0.02%
2018년 10월 02일,"1,288.78","1,293.51","1,287.12","1,291.65",0.17%
2018년 10월 01일,"1,289.73","1,292.46","1,285.85","1,289.51",0.06%
2018년 09월 28일,"1,295.73","1,297.38","1,283.58","1,288.78",-0.65%
2018년 09월 27일,"1,310.90","1,313.43","1,296.58","1,297.21",-0.94%
2018년 09월 26일,"1,315.00","1,315.52","1,306.69","1,309.54",-0.49%
2018년 09월 25일,"1,315.81","1,319.81","1,313.19","1,315.97",0.00%
2018년 09월 24일,"1,310.22","1,321.77","1,309.25","1,315.92",0.45%
