DATE|Actual Value|Prediction Value
20180821|3.7033708136210304e-05|3.776614060601712e-05
20180822|3.5476085378382794e-05|3.616812056128956e-05
20180823|1.8107665827101856e-05|3.771490736092338e-05
20180824|2.9089758442725564e-05|3.273202042322028e-05
20180827|1.889541457241268e-05|3.310651234253827e-05
20180828|2.8348583927677004e-05|3.0303722653700712e-05
20180829|2.1739033353293007e-05|3.080959556143332e-05
20180830|2.8572045224161774e-05|2.9070847910118106e-05
20180831|4.87930784031091e-05|2.7608419531846794e-05
20180903|3.260362288948588e-05|3.1143758218122785e-05
20180904|2.4830960724257995e-05|3.8874980407264664e-05
20180905|2.8175542157906904e-05|3.25325869285471e-05
20180906|3.6274910533249844e-05|4.232938039338094e-05
20180907|4.595192590212764e-05|3.729953606971955e-05
20180910|2.427751916547963e-05|4.150137114551396e-05
20180911|3.3369567835138995e-05|3.2905334745129386e-05
20180912|2.508181776276543e-05|3.327153520707988e-05
20180913|2.3299865923537124e-05|3.362946085471016e-05
20180914|2.9231039137732967e-05|3.174111969941872e-05
20180917|1.893472952560222e-05|3.130223924147814e-05
20180918|3.3969099780612646e-05|3.138839446765108e-05
20180919|2.1980167863950895e-05|3.109247409679235e-05
20180920|3.109370996035936e-05|3.0573198565825546e-05
20180921|3.7620840065182485e-05|3.0646453059579894e-05
20180927|3.52715999675471e-05|3.0912452623839645e-05
20180928|2.666977364328259e-05|3.271572204585131e-05
20181001|3.0306085002939208e-05|3.0585206617752014e-05
20181002|2.782251437139825e-05|3.877236404143826e-05
20181004|4.3597533757291075e-05|3.361595446699923e-05
20181005|7.07891306542336e-05|5.046991725521366e-05
20181008|4.2455567592537796e-05|3.6033686858487755e-05
20181010|6.475100153078496e-05|4.369695506811422e-05
20181011|0.00011155300877056554|4.113449822760269e-05
20181012|9.132898727208231e-05|6.457268613109553e-05
20181015|8.442470644263875e-05|6.379123341859734e-05
20181016|6.0368644040085004e-05|6.991795889578969e-05
20181017|5.450112211751887e-05|5.501580757146537e-05
20181018|5.335316578345339e-05|5.44590702637375e-05
20181019|7.662709812375573e-05|5.600746179639524e-05
20181022|5.4310096921082976e-05|5.9001528911312615e-05
20181023|8.445234125985871e-05|5.678645778251534e-05
20181024|0.00010826979538233583|6.171033409129353e-05
20181025|0.00017396917880506147|7.523113077901099e-05
20181026|0.00019328010046934833|6.902990492382109e-05
20181029|0.00018971389238311946|0.00012621010823829075
20181030|0.00016487410037394594|0.0001528167338875619
20181031|0.00011765037793108819|0.00010855946238910483
20181101|0.00010707428053428113|9.89934706553627e-05
20181102|6.79428928312522e-05|0.00012298735528486904
20181105|0.00010826631197666557|8.420735039944403e-05
20181106|8.174818087512998e-05|7.744832012054851e-05
20181107|0.00010516314853920165|7.82573234069232e-05
20181108|5.7826782105024493e-05|8.449439605562476e-05
20181109|7.09875998680102e-05|6.822175309290067e-05
20181112|4.3066778543406675e-05|7.624483204533722e-05
20181113|8.753702120176244e-05|6.196922420748259e-05
20181114|6.369193232910106e-05|7.401696539161083e-05
20181115|8.636301944052947e-05|6.420509151507125e-05
20181116|4.818786875309406e-05|7.089850808710903e-05
20181119|6.357210970217467e-05|5.450894323142572e-05
20181120|4.7738738687333845e-05|5.95626968705878e-05
