DATE|Actual Value|Prediction Value
20171215|3.3781780472605856e-05|3.2942229722543164e-05
20171218|3.318563043450158e-05|3.525618294793923e-05
20171219|3.656392835350542e-05|3.224244504446207e-05
20171220|3.8452293990440496e-05|3.221017949260451e-05
20171221|3.9118108505465166e-05|3.048280823268384e-05
20171222|3.349413415587775e-05|3.510559746120483e-05
20171226|3.332689974718487e-05|3.354393214495359e-05
20171227|3.380359062487741e-05|3.647600756967051e-05
20171228|3.011947258882316e-05|3.458836134935973e-05
20180102|3.369343660230013e-05|3.253286380432797e-05
20180103|3.658299998992882e-05|3.195684811252019e-05
20180104|3.870870122341106e-05|3.3069984176145614e-05
20180105|4.1949911973933885e-05|3.6007624793562925e-05
20180108|4.746111787054619e-05|3.195860136371724e-05
20180109|4.647815998172012e-05|3.406293213524368e-05
20180110|4.397933414450196e-05|3.751694723237881e-05
20180111|4.26251059975894e-05|3.782561338975842e-05
20180112|3.828362495634035e-05|4.0067610864045526e-05
20180115|3.359600614241005e-05|4.19507420346719e-05
20180116|3.6066083467847315e-05|4.128680588129378e-05
20180117|3.763637519687976e-05|3.767505722742821e-05
20180118|3.6891555736319515e-05|3.525970503093105e-05
20180119|3.45752103142167e-05|3.546564392461094e-05
20180122|3.4188825106858094e-05|3.40009328234664e-05
20180123|2.8162978902130337e-05|3.631282743482705e-05
20180124|2.7577887978432796e-05|3.6739353425943556e-05
20180125|4.162401845799503e-05|3.598270181202271e-05
20180126|4.59339000334013e-05|3.381602716082376e-05
20180129|5.107871707044325e-05|3.335348198384526e-05
20180130|6.562826924398541e-05|3.044423202958181e-05
20180131|9.770962331621637e-05|3.1707592884294265e-05
20180201|0.0001016042903978308|3.6713707525031e-05
20180202|0.00013822573600098866|4.023286204874652e-05
20180205|0.0001525008905185067|4.17023699009835e-05
20180206|0.00014574359483156523|4.316237427381593e-05
20180207|0.00012249422563305424|5.613673193331533e-05
20180208|0.00010924480190548705|7.616915974770249e-05
20180209|7.633771011247095e-05|7.718595066209389e-05
20180212|6.1017973605706305e-05|8.349359137557253e-05
20180213|6.277929520607427e-05|6.746458204014632e-05
20180214|5.781338690886436e-05|6.770833131550076e-05
20180219|5.398657781941676e-05|5.6770983165505985e-05
20180220|4.713961737738692e-05|5.561004098853999e-05
20180221|4.731913914542578e-05|4.898819024764202e-05
20180222|4.439458843938241e-05|5.0859041086048025e-05
20180223|4.516682682431625e-05|4.968393053548348e-05
20180226|5.103543496827333e-05|4.8958781262726436e-05
20180227|5.260676636217115e-05|4.508326291386711e-05
20180228|5.750433417844799e-05|4.595974392043425e-05
20180302|5.971722229913269e-05|4.793884362083877e-05
20180305|6.391056673044872e-05|5.080982880423227e-05
20180306|5.9296948239405646e-05|4.9905112999866846e-05
20180307|5.792045495233829e-05|4.790693929600732e-05
20180308|5.1028218181867775e-05|5.591542833864323e-05
20180309|4.506344176733679e-05|5.278373613999808e-05
20180312|3.885598049336151e-05|5.441444428114482e-05
20180313|4.090811819536904e-05|5.502771768361452e-05
20180314|4.185831859511898e-05|4.8907792132343434e-05
20180315|3.9574118312454815e-05|4.2213591258226445e-05
20180316|4.135562330461059e-05|4.296524683070753e-05
20180319|4.6493462591762513e-05|4.0647436042986026e-05
20180320|5.244651472063894e-05|4.393599617937774e-05
20180321|5.309205815497335e-05|3.917069611801294e-05
20180322|6.131783789233705e-05|3.769431054696444e-05
20180323|6.134648720145102e-05|4.8019423919684e-05
20180326|5.471855401973805e-05|5.9591526673088455e-05
20180327|4.455729367319849e-05|4.9685472412259366e-05
20180328|4.6178117816997685e-05|4.651611587391845e-05
20180329|4.184830148677836e-05|6.132112202084126e-05
20180330|4.216902034065412e-05|4.6137388838911904e-05
20180402|4.62657991123695e-05|4.4411431940340746e-05
20180403|4.758298323701939e-05|4.334276817535269e-05
20180404|4.935822340250905e-05|4.583524427418896e-05
20180405|4.863080527138703e-05|4.9407225133745925e-05
20180406|4.669593051274049e-05|4.441756494986135e-05
20180409|4.087023546144363e-05|5.295799545832911e-05
20180410|3.762377742915485e-05|4.486692575293025e-05
20180411|3.0991408476437e-05|4.854526800219673e-05
20180412|2.8002868178785326e-05|4.7058711564284677e-05
20180413|2.4159218951880972e-05|4.467157519631708e-05
20180416|2.36353146891465e-05|4.1623724469955555e-05
20180417|2.8952271743035117e-05|3.775428086336984e-05
20180418|3.2987567008942674e-05|3.500561692262597e-05
20180419|3.521464389122922e-05|3.4541006317135854e-05
20180420|3.9709077113642114e-05|3.561012730253736e-05
20180423|4.613935414285843e-05|3.530251151091432e-05
20180424|3.845803721779198e-05|3.8912868639931756e-05
20180425|3.157543153696879e-05|4.801871992690797e-05
20180426|2.602411534126252e-05|4.040679946197813e-05
20180427|3.474976295044577e-05|3.6719197074142384e-05
20180430|3.317212123220548e-05|4.140432374915714e-05
20180502|4.349958171626455e-05|3.268122372317549e-05
20180503|4.969500294200018e-05|3.040922517691951e-05
20180504|5.3877173120406065e-05|2.7783848902680885e-05
20180508|4.15347136404037e-05|4.104734837835205e-05
20180509|3.690245036485843e-05|4.2601248007521645e-05
20180510|3.0464170749823435e-05|4.4706223647190674e-05
20180511|2.8071669642050896e-05|4.137857589079852e-05
20180514|2.682756182440793e-05|3.985854780329137e-05
20180515|2.9157576493327592e-05|3.712655749869667e-05
20180516|3.219268556908668e-05|3.65105532145432e-05
20180517|3.2992451110486875e-05|3.515322256479888e-05
20180518|3.46749031748288e-05|3.478738263452009e-05
20180521|3.631396385878118e-05|3.232416633297612e-05
20180523|3.590271238060848e-05|3.4433872025394765e-05
20180524|4.3002536393439295e-05|3.4808586043071685e-05
20180525|4.587327057385671e-05|3.811638433928743e-05
20180528|4.738694801297615e-05|3.8451579924940875e-05
20180529|4.818754716461369e-05|3.602869234911032e-05
20180530|5.164335125770173e-05|4.259777597186095e-05
20180531|4.0753462473138284e-05|4.7814100718566686e-05
20180601|3.589729952387857e-05|4.4294430779406985e-05
20180604|3.405092412604686e-05|4.2884504468985965e-05
20180605|3.4805916510610294e-05|4.1552615094292535e-05
20180607|3.086816614665922e-05|4.018573054266913e-05
20180608|3.154207879071468e-05|3.658773449073128e-05
20180611|3.823366444584655e-05|3.602475952864196e-05
20180612|4.438549940615881e-05|3.384727039750366e-05
20180614|4.8653351253614726e-05|3.574532199426723e-05
20180615|5.2988819909294865e-05|4.011084520439713e-05
20180618|6.324851008360105e-05|3.447242372109095e-05
20180619|6.488953879436727e-05|4.305417303295194e-05
20180620|6.715880435345431e-05|5.2463785583732007e-05
20180621|6.578327360107721e-05|4.52217430485275e-05
20180622|6.939709314232865e-05|5.728082646288102e-05
20180625|6.797902349501214e-05|5.034482711552674e-05
20180626|6.91338628160715e-05|5.117029192906271e-05
20180627|7.098948510243707e-05|4.864156026296148e-05
20180628|7.358466437022598e-05|5.367260123975562e-05
20180629|7.598159331596655e-05|5.402747418338219e-05
20180702|8.091089675739859e-05|5.127042713224367e-05
20180703|7.9880920073517e-05|6.467446661590394e-05
20180704|6.876546166228339e-05|6.105230436426065e-05
20180705|6.649578527493409e-05|5.708234689844772e-05
20180706|5.731545507909645e-05|6.298892630208389e-05
20180709|4.6606780868197415e-05|6.571378425113453e-05
20180710|4.0536918528162594e-05|5.03917531767602e-05
20180711|4.4143143291502545e-05|4.712834685647086e-05
20180712|4.052103018447815e-05|5.228204660817912e-05
20180713|3.9758920373985495e-05|4.4974150226743067e-05
20180716|4.361677916616179e-05|4.255482070093646e-05
20180717|4.9055986145424763e-05|4.4859091496214134e-05
20180718|4.7034547400080394e-05|4.705860311765625e-05
20180719|4.7207468271622606e-05|4.289909745932333e-05
20180720|5.01743872061624e-05|4.2552619478807296e-05
20180723|4.243082892933083e-05|4.304739033559487e-05
20180724|3.693088233665176e-05|5.358831741929547e-05
20180725|3.545884274461278e-05|4.580585447029897e-05
20180726|3.317153121215973e-05|4.36852825342849e-05
20180727|3.131491350394079e-05|4.226065692442116e-05
20180730|3.206492043851463e-05|3.803680449549156e-05
20180731|3.1475484663790945e-05|3.7164393127278505e-05
20180801|3.074866053158658e-05|3.6395974160947364e-05
20180802|2.953074899264338e-05|3.451123394414265e-05
20180803|2.9146600593476646e-05|3.918830253219391e-05
20180806|3.319737558277259e-05|3.44863214957948e-05
20180807|3.750838750536364e-05|3.58644521195253e-05
20180808|3.834730805528451e-05|3.427658312065366e-05
20180809|5.02457625685295e-05|3.358356765457786e-05
20180810|4.635410519048225e-05|3.2299421344388345e-05
20180813|4.4631715184409036e-05|3.879301009088608e-05
20180814|4.1273859125268495e-05|4.525945946463994e-05
20180816|4.1717173672304864e-05|3.6994811980444814e-05
20180817|2.920086883227283e-05|4.689314792139893e-05
20180820|3.15197347928852e-05|3.8792208976333556e-05
20180821|2.7720526471366657e-05|3.730813310291735e-05
20180822|2.5983501629659972e-05|3.438024683644154e-05
20180823|2.323609122464201e-05|3.6503129110927244e-05
20180824|2.5328967104054014e-05|3.283249756475337e-05
20180827|2.9269631096130694e-05|3.2314746940022796e-05
20180828|3.201127275954537e-05|3.02256406397963e-05
20180829|3.1307748118861555e-05|3.119435316789114e-05
20180830|3.259504987978434e-05|2.855142552142581e-05
20180831|3.4135622941601986e-05|2.981877318227031e-05
20180903|3.356739244140565e-05|3.099406298893991e-05
20180904|3.190217169660443e-05|3.6937387955177006e-05
20180905|3.360989311878062e-05|3.19657791425131e-05
20180906|3.2991148239752304e-05|3.647063433813218e-05
20180907|3.0396139317809796e-05|3.600266677600763e-05
20180910|2.705196196493083e-05|3.951519545043612e-05
20180911|2.5983404036955336e-05|3.5223629684835616e-05
20180912|2.610331042605007e-05|3.7071752765067116e-05
20180913|2.548298044628718e-05|3.5585608526983224e-05
20180914|2.704174925365161e-05|3.284318660206377e-05
20180917|2.871970943914155e-05|2.8796920897830296e-05
20180918|3.1987083527530504e-05|3.0893469502228406e-05
20180919|3.052721830006452e-05|2.9967001654630608e-05
20180920|3.219240172786214e-05|2.9726781019951373e-05
20180921|3.153816261006995e-05|2.9981435958576967e-05
20180927|3.2505108115540996e-05|3.0471446498045487e-05
20180928|3.8400988428188586e-05|3.094493010585604e-05
20181001|5.1332831153948484e-05|3.2338909814542865e-05
20181002|6.215655544188843e-05|3.157814184502558e-05
20181004|6.662924846108251e-05|3.694705560519651e-05
20181005|7.617553916404076e-05|4.076744619396777e-05
20181008|6.866578137562578e-05|4.025516111339507e-05
20181010|7.107489228062195e-05|4.140201631788892e-05
20181011|8.043529372857808e-05|4.793327522896976e-05
20181012|6.879532513115561e-05|6.867025390617308e-05
20181015|6.585494730149035e-05|5.451128394182117e-05
20181016|5.9832025397179205e-05|6.537952111760335e-05
20181017|6.46487648411339e-05|5.322670608365783e-05
20181018|7.540249949409739e-05|4.6892518483454186e-05
20181019|9.952570209841892e-05|5.04713640693016e-05
20181022|0.00012285630256753742|6.156749285347007e-05
20181023|0.00014993706165994478|5.238917546953923e-05
20181024|0.0001565766689941907|6.917625915697792e-05
20181025|0.0001563375660245798|8.734058324431371e-05
20181026|0.00014319699265890047|7.828851031077593e-05
20181029|0.00012089060874005693|0.00010402511845360437
20181030|0.00011316159272944658|9.978714822534949e-05
20181031|0.00010398045997127334|9.78120168460797e-05
20181101|9.20157408060605e-05|8.305318723052715e-05
20181102|8.418946326545476e-05|9.507634424781874e-05
20181105|8.479840467280637e-05|5.466049310096655e-05
20181106|7.175849798615456e-05|7.237097342312719e-05
20181107|7.291626605148109e-05|6.50173391112846e-05
20181108|6.462202280946098e-05|6.905780282709723e-05
20181109|7.032927027656191e-05|6.245759247187443e-05
20181112|6.576932405357874e-05|7.945192943752371e-05
20181113|6.987039028533228e-05|6.230248965647707e-05
20181114|6.191073378244662e-05|7.418875864642609e-05
20181115|6.037412138906565e-05|6.430863102807754e-05
20181116|4.958618034250562e-05|6.165207517869022e-05
20181119|4.904573310668452e-05|5.726072021857673e-05
20181120|4.666213074567456e-05|5.937722360729221e-05
20181121|4.4997965076487146e-05|6.975022798412057e-05
20181122|3.878034658838087e-05|6.865627922520662e-05
20181123|4.1378339384526486e-05|5.941530133677987e-05
20181126|4.538687498036606e-05|5.984919612208331e-05
20181127|4.464748030662303e-05|5.280309911777104e-05
20181128|4.263825169726516e-05|4.7374450700698615e-05
20181129|4.7107163382434204e-05|4.377176507560632e-05
20181130|4.580516109554998e-05|4.888974625602495e-05
20181203|4.044492215380672e-05|5.161058732220319e-05
20181204|4.0725984207818774e-05|4.305936116129253e-05
20181205|4.266885180063698e-05|4.61673396654371e-05
20181206|4.391120696369975e-05|6.401646941296652e-05
20181207|4.557359364338749e-05|5.853756342271524e-05
20181210|4.5734833671918045e-05|4.928630604584933e-05
20181211|4.12464507785746e-05|6.008152486978925e-05
20181212|4.363773918216217e-05|5.15187792223903e-05
20181213|4.378715986807307e-05|4.704041492595264e-05
