DATE|Actual Value|Prediction Value
20180622|6.06132654778442e-05|6.14874961030436e-05
20180625|5.977837007169239e-05|5.610346115328298e-05
20180626|5.9651921890793856e-05|4.476695687109481e-05
20180627|5.773315936407576e-05|4.227588320871361e-05
20180628|5.6952237025315166e-05|4.777964431762421e-05
20180629|5.580758899380263e-05|4.698460607455107e-05
20180702|5.339132143027209e-05|4.1919871216223976e-05
20180703|5.160117677093899e-05|4.586493926788791e-05
20180704|4.88504987746197e-05|5.08079896214788e-05
20180705|4.684895373579857e-05|4.4818580403950274e-05
20180706|4.464091904079619e-05|4.7188277379800724e-05
20180709|4.117982735055112e-05|4.881293935243212e-05
20180710|3.949981791850747e-05|4.165862165331346e-05
20180711|3.9346298491945515e-05|3.6730226883907036e-05
20180712|3.7607694665225924e-05|4.331647171790995e-05
20180713|3.7598705419391264e-05|4.2085335591473096e-05
20180716|3.782747602919492e-05|3.53680267475026e-05
20180717|3.8742685162807705e-05|3.643457412493465e-05
20180718|3.789733968289104e-05|3.725314990920234e-05
20180719|4.003887776123878e-05|3.732729252946176e-05
20180720|3.9247501623515436e-05|4.0385121917177255e-05
20180723|3.80812100337567e-05|3.927397665499762e-05
20180724|3.679715340776864e-05|4.502740490247409e-05
20180725|3.65679962509471e-05|4.057744874359854e-05
20180726|3.553722790140131e-05|4.177651752116725e-05
20180727|3.458383852019615e-05|3.793219782567315e-05
20180730|3.440363441926563e-05|3.338175154696191e-05
20180731|3.4060308231020686e-05|3.376944386567037e-05
20180801|3.3512308370954396e-05|3.3006439359022405e-05
20180802|3.3576586874374874e-05|3.403576257025305e-05
20180803|3.4072517918243654e-05|3.492902334895771e-05
20180806|3.439022249952332e-05|2.9920758529137398e-05
20180807|3.4018374094788335e-05|3.077176868517877e-05
20180808|3.397390570800384e-05|2.8735601449797754e-05
20180809|3.472780536161449e-05|3.108478171232028e-05
20180810|3.517771588022588e-05|2.999254368936084e-05
20180813|3.406642152798126e-05|3.604186014324216e-05
20180814|3.304375049814256e-05|4.3466698159120516e-05
20180816|3.263486575412077e-05|3.252812777405625e-05
20180817|2.976539954893454e-05|4.252313540066126e-05
20180820|3.0352180073838026e-05|3.2919056817203667e-05
20180821|2.9404343741117877e-05|3.0162735554794143e-05
20180822|2.925111332333798e-05|3.268337159461149e-05
20180823|2.8576317447616414e-05|3.305805147463567e-05
20180824|2.9225619654279286e-05|3.409469516982836e-05
20180827|2.9652173735402102e-05|2.9787823419938362e-05
20180828|3.0470983005158817e-05|3.233109552298386e-05
20180829|3.0387042490939097e-05|3.3116132094119625e-05
20180830|3.081539507342142e-05|2.8813570069304296e-05
20180831|3.077791853078324e-05|3.407116563177002e-05
20180903|3.0461042990254703e-05|3.160154579588836e-05
20180904|3.206841192231964e-05|3.363569253458402e-05
20180905|3.539331324971085e-05|3.242418489871068e-05
20180906|3.820577146394746e-05|3.292028226656811e-05
20180907|3.941045813928918e-05|4.0225272811396055e-05
20180910|3.983791795005879e-05|4.415025355086055e-05
20180911|4.129170028095744e-05|3.4192337491245685e-05
20180912|4.34545767953883e-05|3.34183310720672e-05
20180913|4.49159907533042e-05|3.897977985989385e-05
